ResponseID,MissionUndefinedLikelihood,MisalignedMissionLikelihood,NoSocialImpactLikelihood,LaidOffEmployees,ExpectedSalary3Years,ExpectedSalary5Years
1606,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1607,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1608,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1609,No,"Will NOT work for them",4,No,>50k,">151k"
1610,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1611,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","21k to 25k","111k to 130k"
1612,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1613,Yes,"Will NOT work for them",6,Yes,>50k,">151k"
1614,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1615,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1616,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1617,No,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1618,No,"Will work for them",10,No,>50k,">151k"
1619,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1620,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1621,No,"Will work for them",2,Yes,"26k to 30k","111k to 130k"
1622,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1623,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1624,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
1625,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1626,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1627,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","5K to 10K","30k to 50k"
1628,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1629,No,"Will NOT work for them",5,No,"31k to 40k","111k to 130k"
1630,No,"Will NOT work for them",4,No,"41k to 50k","111k to 130k"
1631,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1632,No,"Will NOT work for them",4,No,"26k to 30k","111k to 130k"
1633,Yes,"Will NOT work for them",5,"I have NO other choice","26k to 30k",">151k"
1634,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1635,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1636,No,"Will NOT work for them",1,No,"21k to 25k","50k to 70k"
1637,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1638,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1639,No,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1640,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1641,No,"Will NOT work for them",8,Yes,"41k to 50k","131k to 150k"
1642,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere",>50k,"50k to 70k"
1643,No,"Will work for them",10,No,"41k to 50k","111k to 130k"
1644,No,"Will NOT work for them",8,Yes,>50k,"91k to 110k"
1645,Yes,"Will work for them",7,No,>50k,"91k to 110k"
1646,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","111k to 130k"
1647,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","26k to 30k",">151k"
1648,No,"Will NOT work for them",3,No,"21k to 25k","71k to 90k"
1649,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1650,No,"Will NOT work for them",1,"I have NO other choice","31k to 40k",">151k"
1651,No,"Will NOT work for them",1,No,"41k to 50k","131k to 150k"
1652,Yes,"Will work for them",10,"I have NO other choice","26k to 30k","71k to 90k"
1653,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1654,No,"Will NOT work for them",3,No,"31k to 40k","111k to 130k"
1655,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1656,Yes,"Will work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1657,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1658,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1659,Yes,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1660,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1661,No,"Will NOT work for them",1,No,"26k to 30k","50k to 70k"
1662,No,"Will NOT work for them",5,"I have NO other choice","41k to 50k","111k to 130k"
1663,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","11k to 15k","50k to 70k"
1664,No,"Will NOT work for them",4,No,"5K to 10K","50k to 70k"
1665,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1666,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
1667,Yes,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1668,Yes,"Will NOT work for them",10,No,"26k to 30k","111k to 130k"
1669,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1670,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1671,No,"Will NOT work for them",7,No,"41k to 50k","91k to 110k"
1672,No,"Will work for them",7,"I have NO other choice",>50k,"71k to 90k"
1673,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1674,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1675,No,"Will NOT work for them",2,No,"31k to 40k","30k to 50k"
1676,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1677,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1678,No,"Will work for them",3,Yes,>50k,"131k to 150k"
1679,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1680,Yes,"Will work for them",5,No,"31k to 40k","50k to 70k"
1681,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1682,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","91k to 110k"
1683,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
1684,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1685,Yes,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere","26k to 30k","30k to 50k"
1686,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
1687,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","26k to 30k","131k to 150k"
1688,Yes,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1689,No,"Will NOT work for them",3,"I have NO other choice",>50k,">151k"
1690,Yes,"Will NOT work for them",6,No,"26k to 30k","30k to 50k"
1691,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1692,No,"Will NOT work for them",5,No,>50k,">151k"
1693,Yes,"Will NOT work for them",5,No,"31k to 40k","111k to 130k"
1694,Yes,"Will work for them",6,Yes,"41k to 50k","91k to 110k"
1695,No,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1696,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1697,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k",">151k"
1698,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","41k to 50k","50k to 70k"
1699,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1700,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1701,No,"Will NOT work for them",9,No,"41k to 50k",">151k"
1702,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1703,No,"Will NOT work for them",8,No,>50k,">151k"
1704,Yes,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1705,No,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1706,Yes,"Will work for them",1,No,"26k to 30k","50k to 70k"
1707,No,"Will NOT work for them",8,No,>50k,">151k"
1708,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1709,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1710,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1711,No,"Will NOT work for them",7,No,"41k to 50k","91k to 110k"
1712,No,"Will NOT work for them",9,"I have NO other choice","31k to 40k","111k to 130k"
1713,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1714,Yes,"Will NOT work for them",4,"I have NO other choice",>50k,"111k to 130k"
1715,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1716,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1717,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1718,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1719,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1720,No,"Will NOT work for them",3,No,>50k,">151k"
1721,No,"Will NOT work for them",5,Yes,"16k to 20k","91k to 110k"
1722,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1723,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","111k to 130k"
1724,No,"Will NOT work for them",10,No,>50k,">151k"
1725,Yes,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
1726,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1727,No,"Will NOT work for them",1,No,"31k to 40k","91k to 110k"
1728,No,"Will NOT work for them",1,No,"16k to 20k","111k to 130k"
1729,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1730,No,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1731,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1732,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1733,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1734,Yes,"Will work for them",5,No,"16k to 20k","71k to 90k"
1735,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1736,Yes,"Will work for them",4,Yes,"31k to 40k","131k to 150k"
1737,No,"Will NOT work for them",1,No,"41k to 50k","111k to 130k"
1738,Yes,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1739,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
1740,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
1741,Yes,"Will NOT work for them",1,No,"11k to 15k","30k to 50k"
1742,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1743,Yes,"Will work for them",10,No,>50k,">151k"
1744,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1745,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","21k to 25k","131k to 150k"
1746,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
1747,No,"Will NOT work for them",3,No,>50k,">151k"
1748,No,"Will NOT work for them",3,No,"31k to 40k","50k to 70k"
1749,No,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1750,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1751,No,"Will NOT work for them",1,No,"26k to 30k","71k to 90k"
1752,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1753,Yes,"Will work for them",8,No,"31k to 40k","71k to 90k"
1754,Yes,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1755,Yes,"Will NOT work for them",1,"I have NO other choice","26k to 30k","91k to 110k"
1756,No,"Will NOT work for them",2,"I have NO other choice","31k to 40k","131k to 150k"
1757,No,"Will NOT work for them",5,No,"41k to 50k","111k to 130k"
1758,No,"Will NOT work for them",1,No,>50k,"111k to 130k"
1759,Yes,"Will work for them",3,"I have NO other choice","11k to 15k","71k to 90k"
1760,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1761,Yes,"Will work for them",7,Yes,"21k to 25k","111k to 130k"
1762,Yes,"Will work for them",6,"I have NO other choice","31k to 40k","91k to 110k"
1763,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1764,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1765,No,"Will NOT work for them",1,No,"41k to 50k","111k to 130k"
1766,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","30k to 50k"
1767,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1768,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","111k to 130k"
1769,No,"Will work for them",3,No,>50k,">151k"
1770,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1771,Yes,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1772,No,"Will work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1773,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","11k to 15k","111k to 130k"
1774,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1775,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","16k to 20k","91k to 110k"
1776,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1777,No,"Will work for them",7,No,"41k to 50k","91k to 110k"
1778,Yes,"Will work for them",5,"I have NO other choice","31k to 40k","111k to 130k"
1779,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
1780,No,"Will NOT work for them",10,No,"21k to 25k","91k to 110k"
1781,No,"Will work for them",4,Yes,"31k to 40k","91k to 110k"
1782,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1783,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1784,No,"Will NOT work for them",3,No,"26k to 30k","71k to 90k"
1785,No,"Will NOT work for them",5,No,"21k to 25k","71k to 90k"
1786,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","111k to 130k"
1787,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1788,Yes,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","71k to 90k"
1789,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1790,No,"Will NOT work for them",4,No,>50k,">151k"
1791,No,"Will NOT work for them",6,"I have NO other choice",>50k,">151k"
1792,No,"Will NOT work for them",7,"I have NO other choice","21k to 25k","91k to 110k"
1793,No,"Will NOT work for them",1,No,"16k to 20k","50k to 70k"
1794,No,"Will NOT work for them",1,No,"26k to 30k","111k to 130k"
1795,No,"Will NOT work for them",4,No,"26k to 30k","71k to 90k"
1796,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1797,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1798,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1799,Yes,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1800,No,"Will NOT work for them",8,No,>50k,">151k"
1801,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","30k to 50k"
1802,No,"Will NOT work for them",7,No,"31k to 40k","71k to 90k"
1803,No,"Will work for them",9,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1804,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1805,No,"Will NOT work for them",3,Yes,"5K to 10K","71k to 90k"
1806,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1807,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1808,No,"Will NOT work for them",3,Yes,"41k to 50k","71k to 90k"
1809,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1810,Yes,"Will work for them",3,Yes,>50k,">151k"
1811,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1812,Yes,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1813,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","11k to 15k","71k to 90k"
1814,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1815,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
1816,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1817,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1818,Yes,"Will work for them",8,Yes,"26k to 30k","91k to 110k"
1819,Yes,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1820,Yes,"Will work for them",5,"I have NO other choice","31k to 40k","71k to 90k"
1821,No,"Will NOT work for them",1,No,>50k,">151k"
1822,No,"Will NOT work for them",5,"I have NO other choice","41k to 50k","91k to 110k"
1823,No,"Will NOT work for them",8,No,"21k to 25k","111k to 130k"
1824,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1825,No,"Will NOT work for them",10,No,"26k to 30k","71k to 90k"
1826,No,"Will NOT work for them",8,No,>50k,">151k"
1827,No,"Will NOT work for them",7,No,"11k to 15k","71k to 90k"
1828,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","71k to 90k"
1829,No,"Will NOT work for them",5,No,"31k to 40k","50k to 70k"
1830,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1831,No,"Will NOT work for them",3,No,>50k,">151k"
1832,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1833,No,"Will work for them",6,No,"26k to 30k","71k to 90k"
1834,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1835,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1836,No,"Will NOT work for them",10,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1837,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1838,No,"Will NOT work for them",9,"Yes, I Understand this is gonna happen everywhere","11k to 15k","71k to 90k"
1839,No,"Will NOT work for them",5,No,"21k to 25k","71k to 90k"
1840,Yes,"Will work for them",9,Yes,"31k to 40k","50k to 70k"
1841,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1842,No,"Will NOT work for them",3,No,>50k,">151k"
1843,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1844,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1845,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1846,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"91k to 110k"
1847,Yes,"Will work for them",7,Yes,>50k,">151k"
1848,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1849,No,"Will NOT work for them",5,"I have NO other choice","26k to 30k","71k to 90k"
1850,Yes,"Will NOT work for them",6,Yes,>50k,"131k to 150k"
1851,No,"Will NOT work for them",1,No,"21k to 25k","91k to 110k"
1852,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1853,No,"Will NOT work for them",5,No,"21k to 25k","50k to 70k"
1854,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","21k to 25k","91k to 110k"
1855,No,"Will work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1856,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","71k to 90k"
1857,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1858,No,"Will NOT work for them",1,Yes,>50k,">151k"
1859,No,"Will NOT work for them",4,No,"16k to 20k","50k to 70k"
1860,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","26k to 30k",">151k"
1861,No,"Will NOT work for them",7,Yes,"21k to 25k","71k to 90k"
1862,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1863,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","16k to 20k","71k to 90k"
1864,No,"Will work for them",10,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1865,No,"Will work for them",6,Yes,"41k to 50k","91k to 110k"
1866,No,"Will NOT work for them",6,No,"31k to 40k","71k to 90k"
1867,No,"Will NOT work for them",5,"I have NO other choice","16k to 20k","71k to 90k"
1868,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1869,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","31k to 40k","50k to 70k"
1870,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1871,No,"Will NOT work for them",7,No,"26k to 30k","50k to 70k"
1872,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1873,Yes,"Will work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1874,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1875,No,"Will work for them",9,"I have NO other choice","16k to 20k","30k to 50k"
1876,No,"Will NOT work for them",6,No,>50k,">151k"
1877,Yes,"Will work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","131k to 150k"
1878,No,"Will NOT work for them",10,"I have NO other choice","21k to 25k","111k to 130k"
1879,No,"Will NOT work for them",3,Yes,>50k,"91k to 110k"
1880,No,"Will NOT work for them",5,No,>50k,"91k to 110k"
1881,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1882,Yes,"Will work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1883,No,"Will NOT work for them",3,"Yes, I Understand this is gonna happen everywhere",>50k,"111k to 130k"
1884,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1885,No,"Will NOT work for them",5,Yes,>50k,"91k to 110k"
1886,No,"Will NOT work for them",1,No,>50k,">151k"
1887,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1888,Yes,"Will NOT work for them",1,No,>50k,"71k to 90k"
1889,No,"Will NOT work for them",2,No,"31k to 40k","71k to 90k"
1890,No,"Will NOT work for them",8,No,>50k,"91k to 110k"
1891,No,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
1892,No,"Will NOT work for them",3,No,"31k to 40k","50k to 70k"
1893,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","91k to 110k"
1894,Yes,"Will NOT work for them",4,"Yes, I Understand this is gonna happen everywhere","26k to 30k","71k to 90k"
1895,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1896,Yes,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere",>50k,"131k to 150k"
1897,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1898,No,"Will NOT work for them",5,No,"21k to 25k","111k to 130k"
1899,No,"Will NOT work for them",5,No,"31k to 40k","71k to 90k"
1900,No,"Will NOT work for them",1,No,>50k,">151k"
1901,No,"Will NOT work for them",7,No,>50k,">151k"
1902,Yes,"Will work for them",4,No,"31k to 40k","131k to 150k"
1903,Yes,"Will work for them",1,"Yes, I Understand this is gonna happen everywhere","11k to 15k","30k to 50k"
1904,No,"Will NOT work for them",7,"Yes, I Understand this is gonna happen everywhere","31k to 40k","91k to 110k"
1905,Yes,"Will work for them",3,"Yes, I Understand this is gonna happen everywhere","26k to 30k","91k to 110k"
1906,No,"Will NOT work for them",3,Yes,"21k to 25k","50k to 70k"
1907,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","41k to 50k",">151k"
1908,No,"Will NOT work for them",1,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1909,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","16k to 20k","50k to 70k"
1910,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1911,No,"Will NOT work for them",2,"Yes, I Understand this is gonna happen everywhere","21k to 25k","50k to 70k"
1912,No,"Will NOT work for them",4,No,"31k to 40k","91k to 110k"
1913,No,"Will NOT work for them",8,"Yes, I Understand this is gonna happen everywhere","26k to 30k","131k to 150k"
1914,No,"Will NOT work for them",6,"Yes, I Understand this is gonna happen everywhere","26k to 30k","50k to 70k"
1915,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere",>50k,">151k"
1916,No,"Will NOT work for them",5,"Yes, I Understand this is gonna happen everywhere","41k to 50k","131k to 150k"
